,NAME,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,1st_APPEARANCE,YEAR,DC_MV
3358,Buri (Asgardian) (Earth-616),Secret Identity,Good Characters,Blue Eyes,Variable Hair,Male Characters,Straight,Living Characters,9.0,10,1963.0,1
3359,Jason Cragg (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,9.0,4,1963.0,1
3360,Wilhelm van Vile (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,9.0,5,1963.0,1
3361,Jinku (Earth-616),Secret Identity,Bad Characters,None,None,Male Characters,Straight,Living Characters,9.0,5,1964.0,1
3362,Red Hargrove (Earth-616),Public Identity,Good Characters,None,Red Hair,Male Characters,Straight,Deceased Characters,9.0,5,1964.0,1
3364,Vuk (Earth-616),Secret Identity,Neutral Characters,White Eyes,Green Hair,Male Characters,Straight,Living Characters,9.0,3,1964.0,1
3367,Sharon Xavier (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Straight,Living Characters,9.0,7,1965.0,1
3368,Siegfried Farber (Earth-616),No Dual Identity,Bad Characters,None,None,Male Characters,Straight,Living Characters,9.0,1,1965.0,1
3370,Lyan (Earth-616),Public Identity,Good Characters,Green Eyes,Brown Hair,Male Characters,Straight,Living Characters,9.0,11,1966.0,1
3371,Seeker (Inhuman) (Earth-616),Secret Identity,Bad Characters,White Eyes,Black Hair,Male Characters,Straight,Living Characters,9.0,1,1966.0,1
3372,Johnny Carson (Earth-616),Public Identity,Neutral Characters,None,White Hair,Male Characters,Straight,Living Characters,9.0,7,1967.0,1
3373,Tom Regal (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,9.0,9,1967.0,1
3374,Trung Tuan (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Straight,Living Characters,9.0,8,1967.0,1
3377,Robert Chalmers (Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,9.0,6,1969.0,1
3378,Slave Master (Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,Straight,Living Characters,9.0,8,1969.0,1
3379,Brett Sabre (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Living Characters,9.0,8,1970.0,1
3380,Faceless One (Earth-616),Secret Identity,Bad Characters,None,No Hair,Male Characters,Straight,Living Characters,9.0,10,1970.0,1
3383,Melvin Scarbo (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,Straight,Living Characters,9.0,3,1970.0,1
3384,Ka-Nu (Earth-616),Public Identity,Neutral Characters,None,White Hair,Male Characters,Straight,Living Characters,9.0,3,1971.0,1
3387,Howard Shigeta (Earth-616),Public Identity,Good Characters,None,Black Hair,Male Characters,Straight,Living Characters,9.0,5,1972.0,1
3388,Laurie Livingston (Earth-616),Public Identity,Good Characters,None,Blond Hair,Female Characters,Straight,Living Characters,9.0,5,1972.0,1
3393,Derek McDowell (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,9.0,8,1973.0,1
3394,Franklin Armstrong Schist (Earth-616),No Dual Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Straight,Deceased Characters,9.0,9,1973.0,1
3396,Maria Dracula (Earth-616),No Dual Identity,Good Characters,None,Blond Hair,Female Characters,Straight,Deceased Characters,9.0,8,1973.0,1
3397,Sui-San (Earth-616),No Dual Identity,Neutral Characters,Green Eyes,Black Hair,Female Characters,Straight,Deceased Characters,9.0,11,1973.0,1
3398,Turac (Earth-616),No Dual Identity,Bad Characters,Red Eyes,Bald,Male Characters,Straight,Deceased Characters,9.0,9,1973.0,1
3400,Gregori Kronski (Earth-616),Secret Identity,Neutral Characters,None,None,Male Characters,Straight,Deceased Characters,9.0,6,1974.0,1
3403,Roscoe Simons (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Straight,Deceased Characters,9.0,10,1974.0,1
3404,William Turner (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Deceased Characters,9.0,11,1974.0,1
3407,Julian Phyffe (Earth-616),Secret Identity,Neutral Characters,None,Black Hair,Male Characters,Straight,Living Characters,9.0,8,1975.0,1
3408,Melf (Earth-616),No Dual Identity,Bad Characters,None,Red Hair,Male Characters,Straight,Living Characters,9.0,7,1975.0,1
3409,Ramon de Rico (Earth-616),Secret Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Deceased Characters,9.0,4,1975.0,1
3410,Arides (Earth-616),Secret Identity,Bad Characters,Amber Eyes,Black Hair,Male Characters,Straight,Living Characters,9.0,2,1976.0,1
3411,Erik Gelden (Earth-616),Secret Identity,Bad Characters,None,None,Male Characters,Straight,Deceased Characters,9.0,5,1976.0,1
3413,Gorr (New Men) (Earth-616),No Dual Identity,Bad Characters,None,None,Male Characters,Straight,Living Characters,9.0,6,1976.0,1
3414,Achmed Korba (Earth-616),Secret Identity,Bad Characters,None,Bald,Male Characters,Straight,Deceased Characters,9.0,3,1977.0,1
3416,Hecate (Earth-616),No Dual Identity,Bad Characters,None,Black Hair,Female Characters,Straight,Living Characters,9.0,11,1977.0,1
3417,Leo (LMD) (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,9.0,6,1977.0,1
3418,Libra (LMD) (Earth-616),Secret Identity,Bad Characters,None,None,Female Characters,Straight,Deceased Characters,9.0,7,1977.0,1
3421,Utgard-Loki (Earth-616),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,Straight,Living Characters,9.0,6,1978.0,1
3422,Virako (Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Straight,Living Characters,9.0,9,1978.0,1
3424,Clifford Michaels (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Straight,Deceased Characters,9.0,12,1980.0,1
3431,Biff Rifkin (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,None,Male Characters,Straight,Living Characters,9.0,5,1981.0,1
3432,Dherk (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,9.0,9,1981.0,1
3433,Kirigi (Earth-616),Secret Identity,Bad Characters,None,None,Male Characters,Straight,Deceased Characters,9.0,9,1981.0,1
3436,Paul Jansen (Earth-616),Public Identity,Good Characters,None,None,Male Characters,Straight,Living Characters,9.0,7,1981.0,1
3438,Myron Wilburn (Earth-616),Public Identity,Neutral Characters,None,Grey Hair,Male Characters,Straight,Living Characters,9.0,11,1982.0,1
3442,Feldspar (Earth-616),Public Identity,Neutral Characters,None,None,Male Characters,Straight,Living Characters,9.0,5,1983.0,1
3443,Nina da Costa (Earth-616),Public Identity,Good Characters,None,Red Hair,Female Characters,Straight,Living Characters,9.0,9,1983.0,1
3444,Volx (Earth-616),Public Identity,Bad Characters,None,No Hair,Female Characters,Straight,Deceased Characters,9.0,11,1983.0,1
3446,Healer (Earth-616),Secret Identity,Good Characters,None,Grey Hair,Male Characters,Straight,Deceased Characters,9.0,3,1984.0,1
3447,Maraud (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,No Hair,Female Characters,Straight,Living Characters,9.0,8,1984.0,1
3449,Roger Willis (Earth-616),Secret Identity,Good Characters,None,White Hair,Male Characters,Straight,Living Characters,9.0,7,1984.0,1
3450,Baba Yaga (Earth-616),Secret Identity,Bad Characters,Red Eyes,Green Hair,Female Characters,Straight,Living Characters,9.0,11,1985.0,1
3451,Cybele (Earth-616),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Straight,Living Characters,9.0,10,1985.0,1
3454,Kura (Earth-616),Public Identity,Neutral Characters,Brown Eyes,None,Female Characters,Straight,Living Characters,9.0,9,1985.0,1
3455,O.Z. Chase (Earth-616),Public Identity,Good Characters,Black Eyes,White Hair,Male Characters,Straight,Living Characters,9.0,7,1985.0,1
3456,Piper (Morlock) (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Grey Hair,Male Characters,Straight,Deceased Characters,9.0,6,1985.0,1
3458,Glynis Zarkov (Earth-616),Public Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,Straight,Living Characters,9.0,1,1986.0,1
3459,Ilya Zarkov (Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Straight,Deceased Characters,9.0,1,1986.0,1
3460,Jack Brennan (Earth-616),No Dual Identity,Good Characters,None,Brown Hair,Male Characters,Straight,Living Characters,9.0,7,1986.0,1
3461,Lewis Haywerth (Earth-616),Public Identity,Neutral Characters,None,Grey Hair,Male Characters,Straight,Living Characters,9.0,7,1986.0,1
3462,Sharon Banks (Earth-616),Public Identity,Good Characters,None,Brown Hair,Female Characters,Straight,Living Characters,9.0,7,1986.0,1
3465,Anya Eisenhardt (Earth-616),No Dual Identity,Good Characters,None,Brown Hair,Female Characters,Straight,Deceased Characters,9.0,8,1987.0,1
3467,Cort Zo Tinnus (Earth-616),Secret Identity,Neutral Characters,Black Eyes,Orange Hair,Male Characters,Straight,Living Characters,9.0,10,1987.0,1
3468,Daniel Bannion (Earth-616),Secret Identity,Bad Characters,None,None,Male Characters,Straight,Living Characters,9.0,1,1987.0,1
3469,Thomas Bannion (Earth-616),Secret Identity,Bad Characters,None,None,Male Characters,Straight,Living Characters,9.0,1,1987.0,1
3470,Alex (Inferno Baby) (Earth-616),Secret Identity,Bad Characters,Purple Eyes,No Hair,Male Characters,Straight,Living Characters,9.0,12,1988.0,1
3472,Dei Guan (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Straight,Living Characters,9.0,6,1988.0,1
3475,Infectia (Josephine) (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,Straight,Deceased Characters,9.0,5,1988.0,1
3477,Jody Choate (Earth-616),No Dual Identity,Bad Characters,None,None,Male Characters,Straight,Deceased Characters,9.0,9,1988.0,1
3478,Kwaku Anansi (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Straight,Living Characters,9.0,12,1988.0,1
3481,Michael Phillips (Earth-616),Public Identity,Neutral Characters,None,Blond Hair,Male Characters,Straight,Living Characters,9.0,4,1988.0,1
3482,Sandy Kintzler (Earth-616),Public Identity,Good Characters,None,Black Hair,Female Characters,Straight,Living Characters,9.0,3,1988.0,1
3483,Shauna (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,Straight,Living Characters,9.0,11,1988.0,1
3486,Ray Lippert (Earth-616),Public Identity,Good Characters,None,Brown Hair,Male Characters,Straight,Living Characters,9.0,12,1989.0,1
3487,Worm (Savage Land Mutate) (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,None,Male Characters,Straight,Living Characters,9.0,10,1989.0,1
3489,Danielle Forte (Earth-616),Secret Identity,Bad Characters,Pink Eyes,No Hair,Female Characters,Straight,Living Characters,9.0,10,1990.0,1
3490,Jorrma (Earth-616),Public Identity,Neutral Characters,Brown Eyes,Blond Hair,Male Characters,Straight,Living Characters,9.0,5,1990.0,1
3491,Joseph Trinity (Earth-616),Secret Identity,Good Characters,None,Blond Hair,Male Characters,Straight,Living Characters,9.0,10,1990.0,1
3492,Purple Hayes (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,Straight,Living Characters,9.0,9,1990.0,1
3493,Allen Marc Yuric (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Deceased Characters,9.0,10,1991.0,1
3494,Argus LaVecchio (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Straight,Living Characters,9.0,12,1991.0,1
3501,Markus Ettlinger (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Straight,Living Characters,9.0,7,1991.0,1
3502,Nadia Dornova (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Straight,Deceased Characters,9.0,6,1991.0,1
3503,Norman Harrison (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Deceased Characters,9.0,2,1991.0,1
3506,Anthony Grant (Earth-616),Secret Identity,Bad Characters,White Eyes,No Hair,Male Characters,Straight,Living Characters,9.0,6,1992.0,1
3507,Ayla Ranefer (Earth-616),Secret Identity,Bad Characters,Blue Eyes,None,Female Characters,Straight,Living Characters,9.0,12,1992.0,1
3508,Dargin Bokk (Earth-616),Secret Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,Straight,Living Characters,9.0,10,1992.0,1
3509,Dwarf (Earth-616),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,Straight,Living Characters,9.0,8,1992.0,1
3510,Marlene McKenna (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Straight,Living Characters,9.0,11,1992.0,1
3511,Segismund Joshua (Earth-616),Secret Identity,Neutral Characters,None,Blond Hair,Male Characters,Straight,Living Characters,9.0,8,1992.0,1
3512,Tigerstryke (Mitchell) (Earth-616),Secret Identity,Neutral Characters,None,None,Male Characters,Straight,Living Characters,9.0,6,1992.0,1
3514,Darklore (Earth-616),Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Straight,Living Characters,9.0,7,1993.0,1
3515,Dylon-Cir (Earth-616),Secret Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Deceased Characters,9.0,7,1993.0,1
3518,Skeletron (Earth-616),Secret Identity,Bad Characters,None,No Hair,Male Characters,Straight,Living Characters,9.0,12,1993.0,1
3519,William Hastings (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Straight,Living Characters,9.0,6,1993.0,1
3520,Advisor (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Straight,Living Characters,9.0,4,1994.0,1
3521,Carlos Cruz (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Straight,Deceased Characters,9.0,12,1994.0,1
3522,Cartier St. Croix (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Living Characters,9.0,12,1994.0,1
3523,Cassiopeia (Pantheon) (Earth-616),Secret Identity,Good Characters,None,None,Female Characters,Straight,Living Characters,9.0,1,1994.0,1
3527,Foundry (Avatars) (Earth-616),Secret Identity,Bad Characters,Orange Eyes,No Hair,Male Characters,Straight,Living Characters,9.0,12,1994.0,1
3528,Kateri Deseronto (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,Straight,Deceased Characters,9.0,8,1994.0,1
3530,Talos (Earth-616),Public Identity,Neutral Characters,Green Eyes,No Hair,Male Characters,Straight,Living Characters,9.0,6,1994.0,1
3531,Zefra (Earth-616),Secret Identity,Good Characters,None,Black Hair,Female Characters,Straight,Living Characters,9.0,6,1994.0,1
3532,Derek Smalls (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,9.0,3,1995.0,1
3533,Eelak (Earth-616),No Dual Identity,Good Characters,Yellow Eyes,Black Hair,Male Characters,Straight,Living Characters,9.0,3,1995.0,1
3535,Morfex (Earth-616),Secret Identity,Good Characters,None,Bald,Male Characters,Straight,Living Characters,9.0,12,1995.0,1
3538,Amora (Heroes Reborn) (Earth-616),Public Identity,Bad Characters,Green Eyes,Yellow Hair,Female Characters,Straight,Living Characters,9.0,11,1996.0,1
3539,Cary St. Lawrence (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Straight,Living Characters,9.0,10,1996.0,1
3542,Leonard Samson (Heroes Reborn) (Earth-616),Public Identity,Good Characters,None,None,Male Characters,Straight,Living Characters,9.0,11,1996.0,1
3544,Victor von Doom (Heroes Reborn) (Earth-616),Public Identity,Bad Characters,None,None,Male Characters,Straight,Living Characters,9.0,11,1996.0,1
3545,Delphis (Earth-616),Secret Identity,Good Characters,None,No Hair,Male Characters,Straight,Living Characters,9.0,10,1997.0,1
3546,Hunger (Crown) (Earth-616),Secret Identity,Bad Characters,None,White Hair,Male Characters,Straight,Living Characters,9.0,1,1997.0,1
3552,Wilhelmina Lumpkin (Earth-616),Public Identity,Good Characters,None,Red Hair,Female Characters,Straight,Living Characters,9.0,2,1998.0,1
3553,Aria (Earth-616),No Dual Identity,Good Characters,White Eyes,Purple Hair,Female Characters,Straight,Deceased Characters,9.0,1,1999.0,1
3554,Badd Axe (Earth-616),Secret Identity,Bad Characters,None,Bald,Male Characters,Straight,Living Characters,9.0,9,1999.0,1
3555,Bounty (Humanoid) (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,Straight,Living Characters,9.0,2,1999.0,1
3559,Theodore Twaki (Earth-616),Public Identity,Good Characters,Brown Eyes,None,Male Characters,Straight,Living Characters,9.0,1,1999.0,1
3561,Amanda Mueller (Earth-616),Secret Identity,Bad Characters,Brown Eyes,White Hair,Female Characters,Straight,Deceased Characters,9.0,2,2000.0,1
3562,Ameiko Sabuki (Earth-616),Secret Identity,Good Characters,Black Eyes,Black Hair,Female Characters,Straight,Deceased Characters,9.0,7,2000.0,1
3564,Elite (Vigilante Squad) (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Deceased Characters,9.0,8,2000.0,1
3565,Hector Ridondo (Earth-616),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,Straight,Deceased Characters,9.0,5,2000.0,1
3566,Neffethesk (Earth-616),Public Identity,Good Characters,None,White Hair,Male Characters,Straight,Living Characters,9.0,11,2000.0,1
3568,Maguire Beck (Earth-616),Secret Identity,Bad Characters,Hazel Eyes,Brown Hair,Female Characters,Straight,Deceased Characters,9.0,1,2001.0,1
3569,Sharon Ginsberg (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,Straight,Living Characters,9.0,10,2002.0,1
3571,Bobby Soul (Earth-616),Secret Identity,Neutral Characters,None,Black Hair,Male Characters,Straight,Living Characters,9.0,11,2003.0,1
3573,Dallas Gibson (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Straight,Living Characters,9.0,9,2003.0,1
3574,Elizabeth Kendal (Earth-616),Public Identity,Neutral Characters,Brown Eyes,Blond Hair,Female Characters,Straight,Living Characters,9.0,7,2003.0,1
3576,Henry Pierce (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Grey Hair,Male Characters,Straight,Living Characters,9.0,8,2003.0,1
3579,Robbie Rodriguez (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Deceased Characters,9.0,5,2003.0,1
3582,Edward Tancredi (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Male Characters,Straight,Deceased Characters,9.0,9,2004.0,1
3583,Hanna Levy (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Straight,Living Characters,9.0,8,2004.0,1
3585,Mark Sheppard (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Straight,Deceased Characters,9.0,6,2004.0,1
3586,Native (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Straight,Deceased Characters,9.0,6,2004.0,1
3588,Gabriel Vargas (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Straight,Deceased Characters,9.0,12,2005.0,1
3589,Hunter (Pride) (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Straight,Living Characters,9.0,9,2005.0,1
3590,Megan Kinney (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Blond Hair,Female Characters,Straight,Living Characters,9.0,3,2005.0,1
3591,Micah (Earth-616),Secret Identity,Bad Characters,Variable Eyes,Variable Hair,Male Characters,Straight,Living Characters,9.0,12,2005.0,1
3592,Stretch (Earth-616),Secret Identity,Neutral Characters,Hazel Eyes,Brown Hair,Male Characters,Straight,Living Characters,9.0,9,2005.0,1
3593,Stu Cicero (Earth-616),Public Identity,Good Characters,None,None,Male Characters,Straight,Living Characters,9.0,4,2005.0,1
3594,Adam Harkins (Earth-616),Secret Identity,Bad Characters,Green Eyes,Red Hair,Male Characters,Straight,Deceased Characters,9.0,12,2006.0,1
3595,Cru (Earth-616),Secret Identity,Good Characters,Red Eyes,White Hair,Female Characters,Straight,Deceased Characters,9.0,6,2006.0,1
3596,Dirk Anger (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Straight,Living Characters,9.0,3,2006.0,1
3597,Jeremiah Muldoon (Earth-616),Secret Identity,Good Characters,Black Eyes,Bald,Male Characters,Straight,Deceased Characters,9.0,3,2006.0,1
3598,Kerberos (Earth-616),Public Identity,Good Characters,Black Eyes,Brown Hair,Male Characters,Straight,Living Characters,9.0,1,2006.0,1
3599,Nathaniel Briggs (Earth-616),Secret Identity,Good Characters,None,Brown Hair,Male Characters,Straight,Deceased Characters,9.0,1,2006.0,1
3602,Leon Murtaugh (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,Straight,Deceased Characters,9.0,9,2007.0,1
3603,Tinkabelinos Hardleg (Earth-616),Secret Identity,Good Characters,None,Black Hair,Female Characters,Straight,Living Characters,9.0,1,2007.0,1
3604,Blackagar Boltagon (Skrull) (Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,Straight,Deceased Characters,9.0,1,2008.0,1
3605,Citadel (Earth-616),Secret Identity,Bad Characters,Blue Eyes,None,Male Characters,Straight,Living Characters,9.0,9,2008.0,1
3606,Freak (Vagrant) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,No Hair,Male Characters,Straight,Living Characters,9.0,2,2008.0,1
3607,James Madrox (Cortex) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Straight,Living Characters,9.0,1,2008.0,1
3608,Argus (Earth-616),Secret Identity,Bad Characters,None,None,Male Characters,Straight,Living Characters,9.0,6,2009.0,1
3609,Ashcroft (A.I.M.) (Earth-616),Secret Identity,Bad Characters,None,None,Male Characters,Straight,Deceased Characters,9.0,11,2009.0,1
3610,Blake (A.I.M.) (Earth-616),Secret Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Deceased Characters,9.0,9,2009.0,1
3611,Bouncing Betty (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,Straight,Living Characters,9.0,11,2009.0,1
3613,Lobe (Earth-616),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,Straight,Living Characters,9.0,11,2009.0,1
3615,Twitchy (Earth-616),Secret Identity,Good Characters,None,Brown Hair,Male Characters,Straight,Living Characters,9.0,6,2009.0,1
3616,Unspoken (Earth-616),Secret Identity,Neutral Characters,Grey Eyes,Grey Hair,Male Characters,Straight,Living Characters,9.0,9,2009.0,1
3617,Charles Ulysses (Earth-616),Secret Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Deceased Characters,9.0,3,2010.0,1
3618,Eric Solvang (Earth-616),Public Identity,Good Characters,None,Brown Hair,Male Characters,Straight,Living Characters,9.0,11,2010.0,1
3623,William Downing (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Grey Hair,Male Characters,Straight,Deceased Characters,9.0,11,2010.0,1
3624,Xarus (Earth-616),Secret Identity,Bad Characters,Red Eyes,Blond Hair,Male Characters,Straight,Deceased Characters,9.0,8,2010.0,1
3626,Buck Lime (Earth-616),No Dual Identity,Good Characters,None,None,Male Characters,Straight,Living Characters,9.0,9,2011.0,1
3628,Hel Wolf (Earth-616),Public Identity,Bad Characters,None,No Hair,Male Characters,Straight,Living Characters,9.0,7,2011.0,1
3629,Sanjar Javeed (Earth-616),Secret Identity,Neutral Characters,Black Eyes,Bald,Male Characters,Straight,Living Characters,9.0,1,2011.0,1
3632,Joelle (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Straight,Deceased Characters,9.0,10,2012.0,1
3633,Sigurd (Bor) (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Straight,Living Characters,9.0,1,2012.0,1
3635,Agent Gorman (Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Deceased Characters,9.0,1,2013.0,1
3637,Charles Cotta (Earth-616),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,Straight,Living Characters,9.0,5,2013.0,1
3638,Gorr (God Butcher) (Earth-616),Public Identity,Bad Characters,None,None,Male Characters,Straight,Deceased Characters,9.0,1,2013.0,1
3645,Carl Burgess (Earth-616),Secret Identity,Good Characters,None,Brown Hair,Male Characters,Straight,Living Characters,8.0,6,1940.0,1
3647,Don Stevens (Earth-616),Secret Identity,Good Characters,None,Brown Hair,Male Characters,Straight,Deceased Characters,8.0,8,1941.0,1
3648,Florence von Ward (Earth-616),Public Identity,Good Characters,None,Brown Hair,Female Characters,Straight,Living Characters,8.0,10,1941.0,1
3649,Jerry Hunter (Earth-616),Public Identity,Good Characters,None,Blond Hair,Male Characters,Straight,Living Characters,8.0,8,1941.0,1
3650,Albert Jones (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Straight,Living Characters,8.0,12,1942.0,1
3651,Jeff Dix (Earth-616),Public Identity,Good Characters,None,Black Hair,Male Characters,Straight,Living Characters,8.0,5,1942.0,1
3652,John Watkins (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Straight,Deceased Characters,8.0,1,1942.0,1
3653,Louis Remiens (Earth-616),Secret Identity,Bad Characters,None,Blond Hair,Male Characters,Straight,Living Characters,8.0,9,1946.0,1
3654,Rex Herr (Earth-616),Public Identity,Bad Characters,None,Black Hair,Male Characters,Straight,Living Characters,8.0,11,1946.0,1
3655,Richard I (Earth-616),Public Identity,Good Characters,None,None,Male Characters,Straight,Deceased Characters,8.0,1,1949.0,1
3656,Rusty Randolph (Earth-616),Public Identity,Good Characters,Blue Eyes,Auburn Hair,Male Characters,Straight,Living Characters,8.0,4,1949.0,1
3657,Major Cullen (Earth-616),Public Identity,Good Characters,None,Grey Hair,Male Characters,Straight,Living Characters,8.0,3,1951.0,1
3661,Waku (Earth-616),Public Identity,Good Characters,None,None,Male Characters,Straight,Living Characters,8.0,9,1954.0,1
3662,Droom (Earth-616),Public Identity,Bad Characters,Black Eyes,No Hair,Male Characters,Straight,Deceased Characters,8.0,5,1960.0,1
3663,Orrgo (Earth-616),Public Identity,Bad Characters,White Eyes,No Hair,Male Characters,Straight,Living Characters,8.0,11,1961.0,1
3664,Rorgg (Earth-616),Public Identity,Bad Characters,Red Eyes,No Hair,Male Characters,Straight,Living Characters,8.0,1,1961.0,1
3665,"Benjamin Grimm (Skrull, Cow) (Earth-616)",Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,Straight,Deceased Characters,8.0,1,1962.0,1
3666,Igor Drenkov (Earth-616),Secret Identity,Bad Characters,None,Brown Hair,Male Characters,Straight,Deceased Characters,8.0,5,1962.0,1
3667,"Jonathan Storm (Skrull, Cow) (Earth-616)",Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,Straight,Deceased Characters,8.0,1,1962.0,1
3669,"Reed Richards (Skrull, Cow) (Earth-616)",Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,Straight,Deceased Characters,8.0,1,1962.0,1
3672,Valtrauta (Earth-616),Secret Identity,Good Characters,None,Blond Hair,Female Characters,Straight,Living Characters,8.0,4,1963.0,1
3673,Blackie Gaxton (Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Straight,Living Characters,8.0,4,1964.0,1
